Instrument,Preset,Family,MixRole,Tags,PeakDb,RmsDb,Status
Contrebasse,Pizzicato Jazz,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-10.183,ok
Contrebasse,Walking Bass,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-10.936,ok
Contrebasse,Arco Lyrique,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-8.794,ok
Contrebasse,Bossa Nova,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-11.379,ok
Contrebasse,Cinématique,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-7.654,ok
Contrebasse,Orchestrale Douce,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-8.151,ok
Contrebasse,Tango Profond,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-9.608,ok
Contrebasse,Bluegrass Percussif,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-10.751,ok
Contrebasse,Jazz Club Feutré,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-9.593,ok
Contrebasse,Solo Expressif,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-8.546,ok
Contrebasse,Contrebasse Sombre,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation,dark",-1.110,-8.296,ok
Contrebasse,Pizz Court,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-11.754,ok
Contrebasse,Arco Dramatique,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-6.797,ok
Contrebasse,Bois Ancien,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-8.046,ok
Contrebasse,Groove Latin,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-10.215,ok
Contrebasse,Swing Vintage,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-9.055,ok
Contrebasse,Folk Rustique,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-9.760,ok
Contrebasse,Chambre Intime,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-8.439,ok
Contrebasse,Réggaé Roots,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-8.739,ok
Contrebasse,Film Noir,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-7.357,ok
Contrebasse,Contrebasse Brillante,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation,bright",-1.110,-9.903,ok
Contrebasse,Sustain Lyrique,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-8.063,ok
Contrebasse,Staccato Vif,acoustic,transient-bass,"bass,factory,acoustic,double-bass,transient-bass",-1.110,-13.144,ok
Contrebasse,Warm Pad Bass,acoustic,texture-bass,"bass,factory,acoustic,double-bass,texture-bass,warm",-1.110,-8.425,ok
Contrebasse,Percussivement Bois,acoustic,organic-foundation,"bass,factory,acoustic,double-bass,organic-foundation",-1.110,-12.115,ok
Basse Fingered,Groove Motown,acoustic,organic-foundation,"bass,factory,acoustic,fingered-bass,organic-foundation",-1.110,-9.052,ok
